
# Curve 0 of 1, 161260 points
# Curve title: "filename using 1:4 every 100"
# x y type
 651264  1571  i
 651364  1571.01  i
 651464  1571  i
 651564  1570.98  i
 651664  1571.01  i
 651764  1570.99  i
 651864  1571.05  i
 651964  1571.01  i
 652064  1571.01  i
 652164  1571  i
 652264  1570.99  i
 652364  1571.02  i
 652464  1571  i
 652564  1571  i
 652664  1571.01  i
 652764  1570.99  i
 652864  1571  i
 652964  1571.01  i
 653064  1571.01  i
 653164  1570.98  i
 653264  1570.98  i
 653364  1570.99  i
 653464  1570.99  i
 653564  1571  i
 653664  1570.99  i
 653764  1571  i
 653864  1571.02  i
 653964  1571.01  i
 654064  1571  i
 654164  1571  i
 654264  1571.02  i
 654364  1570.99  i
 654464  1570.99  i
 654564  1571.01  i
 654664  1571  i
 654764  1571  i
 654864  1570.97  i
 654964  1571.01  i
 655064  1571.02  i
 655164  1570.99  i
 655264  1571  i
 655364  1570.98  i
 655464  1571.03  i
 655564  1570.96  i
 655664  1570.99  i
 655764  1570.98  i
 655864  1571.02  i
 655964  1570.99  i
 656064  1570.95  i
 656164  1570.98  i
 656264  1571.01  i
 656364  1571.01  i
 656464  1571.02  i
 656564  1570.99  i
 656664  1570.98  i
 656764  1571.03  i
 656864  1571.01  i
 656964  1571.02  i
 657064  1570.98  i
 657164  1571.01  i
 657264  1571.02  i
 657364  1570.96  i
 657464  1571.02  i
 657564  1571.01  i
 657664  1571.01  i
 657764  1570.99  i
 657864  1571  i
 657964  1571.01  i
 658064  1570.99  i
 658164  1570.99  i
 658264  1571.01  i
 658364  1570.99  i
 658464  1570.99  i
 658564  1571.01  i
 658664  1570.97  i
 658764  1570.99  i
 658864  1570.99  i
 658964  1570.99  i
 659064  1570.99  i
 659164  1571.01  i
 659264  1571  i
 659364  1571.02  i
 659464  1571.02  i
 659564  1570.98  i
 659664  1571  i
 659764  1571.01  i
 659864  1572.01  i
 659964  1572.03  i
 660064  1572.02  i
 660164  1571.98  i
 660264  1571.95  i
 660364  1571.99  i
 660464  1571.99  i
 660564  1572  i
 660664  1571.99  i
 660764  1572  i
 660864  1571.98  i
 660964  1572  i
 661064  1572.03  i
 661164  1572  i
 661264  1571.98  i
 661364  1571.99  i
 661464  1572.02  i
 661564  1571.97  i
 661664  1572  i
 661764  1572  i
 661864  1572.01  i
 661964  1571.99  i
 662064  1571.99  i
 662164  1572  i
 662264  1572.01  i
 662364  1571.99  i
 662464  1571.99  i
 662564  1571.98  i
 662664  1572  i
 662764  1572.01  i
 662864  1572.02  i
 662964  1571.98  i
 663064  1572.02  i
 663164  1572  i
 663264  1571.94  i
 663364  1572.01  i
 663464  1572  i
 663564  1572  i
 663664  1571.99  i
 663764  1572.01  i
 663864  1572  i
 663964  1572.01  i
 664064  1572.01  i
 664164  1571.96  i
 664264  1572.01  i
 664364  1572.01  i
 664464  1572.04  i
 664564  1572.01  i
 664664  1571.98  i
 664764  1571.98  i
 664864  1572.02  i
 664964  1572.02  i
 665064  1571.99  i
 665164  1571.99  i
 665264  1571.99  i
 665364  1572  i
 665464  1572.01  i
 665564  1571.99  i
 665664  1572.02  i
 665764  1571.99  i
 665864  1572.02  i
 665964  1572.02  i
 666064  1572.01  i
 666164  1572.01  i
 666264  1572.01  i
 666364  1572.01  i
 666464  1572  i
 666564  1571.98  i
 666664  1572  i
 666764  1572.01  i
 666864  1571.99  i
 666964  1572.02  i
 667064  1572  i
 667164  1572.01  i
 667264  1572.04  i
 667364  1572  i
 667464  1571.99  i
 667564  1571.98  i
 667664  1572.01  i
 667764  1571.99  i
 667864  1572.03  i
 667964  1572.01  i
 668064  1571.98  i
 668164  1571.99  i
 668264  1572.02  i
 668364  1571.99  i
 668464  1572  i
 668564  1571.98  i
 668664  1571.99  i
 668764  1572  i
 668864  1572  i
 668964  1571.99  i
 669064  1572.01  i
 669164  1572  i
 669264  1572.01  i
 669364  1571.99  i
 669464  1572  i
 669564  1571.97  i
 669664  1571.98  i
 669764  1572.01  i
 669864  1572.02  i
 669964  1571.99  i
 670064  1571.99  i
 670164  1572  i
 670264  1571.99  i
 670364  1572  i
 670464  1572.01  i
 670564  1572.01  i
 670664  1571.97  i
 670764  1571.97  i
 670864  1572  i
 670964  1572  i
 671064  1572  i
 671164  1571.99  i
 671264  1571.99  i
 671364  1572.01  i
 671464  1572  i
 671564  1572  i
 671664  1571.97  i
 671764  1572.02  i
 671864  1572.01  i
 671964  1572.03  i
 672064  1571.98  i
 672164  1571.99  i
 672264  1571.98  i
 672364  1572.03  i
 672464  1571.99  i
 672564  1572  i
 672664  1571.99  i
 672764  1572.03  i
 672864  1571.97  i
 672964  1571.99  i
 673064  1572.01  i
 673164  1572.03  i
 673264  1572.04  i
 673364  1571.99  i
 673464  1571.98  i
 673564  1572  i
 673664  1571.98  i
 673764  1571.99  i
 673864  1571.99  i
 673964  1572.03  i
 674064  1572  i
 674164  1572.03  i
 674264  1571.99  i
 674364  1571.98  i
 674464  1572  i
 674564  1572  i
 674664  1572  i
 674764  1572.02  i
 674864  1571.98  i
 674964  1572.03  i
 675064  1572.01  i
 675164  1572.02  i
 675264  1571.99  i
 675364  1572  i
 675464  1571.99  i
 675564  1572.01  i
 675664  1572.02  i
 675764  1572  i
 675864  1572.01  i
 675964  1572  i
