
# Curve 0 of 1, 166134 points
# Curve title: "filename using 1:4 every 100"
# x y type
 163840  846.982  i
 163940  847.011  i
 164040  846.995  i
 164140  846.98  i
 164240  846.989  i
 164340  847.014  i
 164440  847.005  i
 164540  846.987  i
 164640  847.001  i
 164740  846.999  i
 164840  847.023  i
 164940  846.985  i
 165040  847.017  i
 165140  846.984  i
 165240  846.987  i
 165340  847.019  i
 165440  847.006  i
 165540  847.019  i
 165640  846.997  i
 165740  847.003  i
 165840  846.987  i
 165940  847.02  i
 166040  846.999  i
 166140  847.011  i
 166240  847.004  i
 166340  847.024  i
 166440  847.006  i
 166540  846.996  i
 166640  846.999  i
 166740  847.002  i
 166840  846.989  i
 166940  846.989  i
 167040  847.012  i
 167140  846.995  i
 167240  847.003  i
 167340  846.989  i
 167440  846.999  i
 167540  846.996  i
 167640  846.982  i
 167740  847.024  i
 167840  847.005  i
 167940  846.987  i
 168040  847.021  i
 168140  847.003  i
 168240  847.042  i
 168340  847.021  i
 168440  847.018  i
 168540  847.003  i
 168640  847.002  i
 168740  846.987  i
 168840  847.027  i
 168940  846.982  i
 169040  847.037  i
 169140  846.993  i
 169240  846.998  i
 169340  846.997  i
 169440  847.019  i
 169540  846.972  i
 169640  847  i
 169740  846.979  i
 169840  847.004  i
 169940  847.031  i
 170040  847.004  i
 170140  847.008  i
 170240  846.981  i
 170340  846.997  i
 170440  847.004  i
 170540  847.017  i
 170640  846.993  i
 170740  847.003  i
 170840  847.019  i
 170940  846.987  i
 171040  846.989  i
 171140  847.021  i
 171240  846.969  i
 171340  846.995  i
 171440  846.998  i
 171540  847.019  i
 171640  847.002  i
 171740  847.029  i
 171840  847.025  i
 171940  847.014  i
 172040  846.991  i
 172140  846.981  i
 172240  846.95  i
 172340  846.981  i
 172440  847.02  i
 172540  847.001  i
 172640  846.983  i
 172740  846.99  i
 172840  846.984  i
 172940  847.009  i
 173040  847.044  i
 173140  847.013  i
 173240  846.989  i
 173340  847.012  i
 173440  846.993  i
 173540  847.004  i
 173640  846.993  i
 173740  847.001  i
 173840  846.979  i
 173940  847.028  i
 174040  847.019  i
 174140  847.031  i
 174240  847.012  i
 174340  846.988  i
 174440  846.994  i
 174540  847.005  i
 174640  847.023  i
 174740  846.974  i
 174840  846.973  i
 174940  847.012  i
 175040  847.001  i
 175140  846.992  i
 175240  846.977  i
 175340  847.018  i
 175440  847.008  i
 175540  847.023  i
 175640  846.967  i
 175740  846.988  i
 175840  846.986  i
 175940  847.019  i
 176040  847.019  i
 176140  847.003  i
 176240  847.023  i
 176340  847  i
 176440  846.997  i
 176540  847.004  i
 176640  847.004  i
 176740  847.017  i
 176840  847.017  i
 176940  847.021  i
 177040  846.994  i
 177140  847.016  i
 177240  846.982  i
 177340  846.997  i
 177440  847.013  i
 177540  846.987  i
 177640  847.003  i
 177740  846.99  i
 177840  846.986  i
 177940  847.004  i
 178040  847.009  i
 178140  847.012  i
 178240  846.992  i
 178340  847.014  i
 178440  847.008  i
 178540  846.984  i
 178640  847.024  i
 178740  846.998  i
 178840  846.964  i
 178940  846.983  i
 179040  847.005  i
 179140  847.019  i
 179240  847.018  i
 179340  846.981  i
 179440  846.992  i
 179540  846.995  i
 179640  846.988  i
 179740  847.017  i
 179840  847.02  i
 179940  847.005  i
 180040  846.995  i
 180140  846.986  i
 180240  847.019  i
 180340  847.007  i
 180440  846.996  i
 180540  846.997  i
 180640  847.003  i
 180740  846.994  i
 180840  846.999  i
 180940  847.002  i
 181040  846.979  i
 181140  847.007  i
 181240  847.012  i
 181340  847.001  i
 181440  846.982  i
 181540  846.999  i
 181640  846.987  i
 181740  846.989  i
 181840  846.997  i
 181940  846.991  i
 182040  846.983  i
 182140  846.987  i
 182240  847.04  i
 182340  846.993  i
 182440  847.011  i
 182540  846.988  i
 182640  846.987  i
 182740  846.981  i
 182840  847.012  i
 182940  846.997  i
 183040  846.973  i
 183140  846.994  i
 183240  846.994  i
 183340  847.006  i
 183440  847.007  i
 183540  847.003  i
 183640  846.992  i
 183740  847.023  i
 183840  846.999  i
 183940  846.996  i
 184040  847.02  i
 184140  847.023  i
 184240  846.998  i
 184340  846.993  i
 184440  847.004  i
 184540  847  i
 184640  847.003  i
 184740  847.014  i
 184840  847.009  i
 184940  847.015  i
 185040  846.987  i
 185140  846.983  i
 185240  847.026  i
 185340  846.998  i
