          12          42      -12186
          12           6      -16821
          12          15      -18173
          12          24      -18180
          12           3      -23612
          12           6      -24431
          12           9      -29990
          12          33      -33806
          12          12      -34457
          12          12      -35499
          12          12      -36298
          12          15      -37472
          12          15      -45167
          12          39       -4766
          12           6      -54067
          12          33       -5695
          12           9      -57252
          12          27      -58831
          12          18      -63098
          12           6      -63962
          12          12      -67676
          12           3      -67888
          12          15       -6951
          12           9      -69606
          12          12      -70078
          12          15      -72877
          12           9      -75281
          12           6      -75363
          12           9       -7611
          12          45      -76208
          12          36      -76917
          12          12      -77692
          12           3      -77887
          12          12      -78466
          12          12      -80950
          12           9      -81908
          12          42      -84670
          12          21      -85717
          12          36      -87407
          12           3      -88941
          12          24      -89000
          12          39       -9083
          12           6       -9368
          12         105      -95446
          12           9      -95529
          12           9      -97616
          16         128       -1008
          16         772      -10173
          16         140      -10422
          16          20       -1075
          16          24      -11402
          16          24      -11875
          16         340      -14340
          16          16      -15433
          16          16      -17649
          16          16      -23294
          16          28      -26580
          16          20      -29593
          16          84      -30567
          16          32      -33055
          16         156      -33655
          16          24      -35867
          16          40      -38421
          16          76      -39766
          16          24      -43150
          16          24      -43265
          16          56      -44553
          16         104      -47681
          16         256        -535
          16         164      -54920
          16         160      -55777
          16         180      -57619
          16          60        -580
          16         228      -60921
          16          32      -62929
          16          80       -6383
          16          64      -70154
          16         516      -71941
          16         208       -7222
          16          20       -7289
          16         140      -72996
          16          48      -80298
          16          52      -82365
          16          80      -84713
          16          44      -85220
          16          16      -87253
          16          12      -88340
          16          36      -89133
          16         612      -90217
          16          28      -93176
          16          68      -96992
          16          96      -99878
          20        1465      -10151
          20         280      -13858
          20         360      -14272
          20          70      -15228
          20          45      -15410
          20         115      -16824
          20         480      -17332
          20          85       -2100
          20          55      -22478
          20         245      -22699
          20          10      -28136
          20          50      -29321
          20        1015       -2933
          20          70       -3013
          20         790      -32533
          20         130      -33438
          20         525      -39701
          20         935      -47226
          20         440      -47293
          20         380      -47504
          20         105      -48094
          20         950      -48916
          20         310      -49489
          20         165      -52287
          20        1455      -53598
          20         815      -56033
          20          25      -57166
          20          40      -60043
          20         270      -61510
          20          45       -6201
          20         195      -65430
          20         250         -67
          20          90      -69317
          20         135      -70708
          20          25      -71789
          20        5595      -76423
          20          90      -76601
          20        1025      -77393
          20         375      -84573
          20          50      -86492
          20         215      -89762
          20          15       -9101
          20         965      -92395
          20        2030      -94293
          20         955      -97484
          20          50       -9762
          24         150      -10460
          24        7236      -14172
          24         468       -1511
          24         786      -17025
          24         612      -17268
          24       12498      -18661
          24        3030      -20673
          24         402      -21384
          24         180      -25472
          24          90      -25804
          24          24      -27661
          24          84      -30813
          24         192       -3084
          24          42      -32734
          24        3114      -33250
          24          42      -37163
          24        3804      -38849
          24          66      -40656
          24         660      -40927
          24        1308      -43407
          24        1500      -44655
          24        2154      -46398
          24         702      -48609
          24         168      -49265
          24         990      -50270
          24          84      -53237
          24         714      -55493
          24         864      -62163
          24        2748      -63222
          24        1920      -63302
          24        1476       -6442
          24         132       -6974
          24         120      -70882
          24         816      -71764
          24         762      -73743
          24          72      -76728
          24        2016      -78081
          24       28446      -78733
          24        1302      -83020
          24          48      -83482
          24         930      -84937
          24        2064      -85903
          24         474      -88631
          24         114      -91274
          24        2268      -96749
          24          42      -99716
          28        3584      -11162
          28          63      -15419
          28        2828      -16593
          28        1155      -18508
          28       38206      -19840
          28          77       -2271
          28       22680      -24825
          28        1911      -27276
          28       10997      -30634
          28        1358      -32098
          28        1435      -33099
          28         210      -35902
          28       23513      -38936
          28        1624      -40182
          28       62279      -42952
          28       21714      -44242
          28        1652      -44251
          28        1008      -44459
          28        3038      -51001
          28        7889      -51493
          28        5915      -53813
          28        5502      -55697
          28         938      -57445
          28       12474      -60404
          28         301      -63677
          28        1981      -66743
          28        1876      -68571
          28        1708      -68601
          28       10808      -70708
          28        8645      -73464
          28        2646      -78297
          28         616        -805
          28        8085      -81825
          28         245        -846
          28         938      -85512
          28         252      -86121
          28        2541      -87898
          28        1239      -89337
          28         112      -90792
          28        2856      -90855
          28         469      -92667
          28        7616      -92821
          28        6475      -94283
          28        6083      -96503
          28       37996      -98523
          28         266      -99492
          32      120048      -10252
          32      203712      -11691
          32        8800      -11767
          32        7968      -13029
          32       53088      -13086
          32        4472      -16993
          32         904      -18554
          32         480      -19219
          32        1984      -22212
